Doy,Rain,dt,Temp,Radiation,Relative Humidity,Wind,lat,long,elev,height,irr
207.14,0,0.01,24.96666667,2.547222222,90.3,0.866666667,14.24,102.69,295,2.5,0
207.15,0,0.01,24.86666667,2.940111111,90.41111111,0.577777778,14.24,102.69,295,2.5,0
207.16,0,0.01,24.83333333,3.987666667,90.45,0.75,14.24,102.69,295,2.5,0
207.17,0,0.01,24.78888889,3.071111111,90.53333333,1.111111111,14.24,102.69,295,2.5,0
207.18,0,0.01,24.72222222,2.154555556,90.74444444,1.077777778,14.24,102.69,295,2.5,0
207.19,0,0.01,24.66666667,3.856777778,90.73333333,0.711111111,14.24,102.69,295,2.5,0
207.2,0,0.01,24.68888889,2.678222222,90.56666667,0.388888889,14.24,102.69,295,2.5,0
207.21,0,0.01,24.78888889,3.071111111,90.71111111,1.355555556,14.24,102.69,295,2.5,0
207.22,0,0.01,24.87777778,2.678333333,90.55555556,1.033333333,14.24,102.69,295,2.5,0
207.23,0,0.01,24.9,3.856666667,90.54444444,0.688888889,14.24,102.69,295,2.5,0
207.24,0,0.01,24.88333333,4.517333333,90.58333333,0.433333333,14.24,102.69,295,2.5,0
207.25,0,0.01,24.81111111,12.539,90.5,0.355555556,14.24,102.69,295,2.5,0
207.26,0,0.01,24.92222222,30.50644444,90.28888889,1.277777778,14.24,102.69,295,2.5,0
207.27,0,0.01,25.32222222,61.08433333,89.84444444,1.222222222,14.24,102.69,295,2.5,0
207.28,0,0.01,25.86666667,91.38077778,88.93333333,1.4,14.24,102.69,295,2.5,0
207.29,0,0.01,26.8,141.303,85.93333333,1.722222222,14.24,102.69,295,2.5,0
207.3,0,0.01,27.2,142.5521111,83.94444444,2.333333333,14.24,102.69,295,2.5,0
207.31,0,0.01,27.36666667,179.2418889,83.56666667,3.422222222,14.24,102.69,295,2.5,0
207.32,0,0.01,27.98888889,238.7074444,82.45555556,2.766666667,14.24,102.69,295,2.5,0
207.33,0,0.01,28.35,304.1701667,81.35,4.1,14.24,102.69,295,2.5,0
207.34,0,0.01,28.86666667,346.927,79.35555556,4.033333333,14.24,102.69,295,2.5,0
207.35,0,0.01,28.76666667,308.8978889,79.72222222,4.566666667,14.24,102.69,295,2.5,0
207.36,0,0.01,29.01111111,332.0602222,79.1,4.322222222,14.24,102.69,295,2.5,0
207.37,0,0.01,29.63333333,430.344,77.64444444,4.2,14.24,102.69,295,2.5,0
207.38,0,0.01,29.82222222,393.9508889,76.67777778,4.211111111,14.24,102.69,295,2.5,0
207.39,0,0.01,30.1,431.4742222,75.53333333,3.922222222,14.24,102.69,295,2.5,0
207.4,0,0.01,30.15555556,435.3975556,75.97777778,6.222222222,14.24,102.69,295,2.5,0
207.41,0,0.01,30.48333333,513.5428333,74.95,5.983333333,14.24,102.69,295,2.5,0
207.42,0,0.01,31.06666667,588.4723333,72.72222222,4.888888889,14.24,102.69,295,2.5,0
207.43,0,0.01,31.44444444,562.8703333,71.04444444,4.922222222,14.24,102.69,295,2.5,0
207.44,0,0.01,31.48888889,551.9204444,70.58888889,3.888888889,14.24,102.69,295,2.5,0
207.45,0,0.01,31.77777778,609.8991111,69.51111111,5.1,14.24,102.69,295,2.5,0
207.46,0,0.01,32.01111111,629.5607778,68.34444444,5.177777778,14.24,102.69,295,2.5,0
207.47,0,0.01,32.37777778,685.2398889,65.9,6.277777778,14.24,102.69,295,2.5,0
207.48,0,0.01,32.65555556,732.5978889,66.15555556,5.5,14.24,102.69,295,2.5,0
207.49,0,0.01,32.61666667,657.8045,65.9,7.516666667,14.24,102.69,295,2.5,0
207.5,0,0.01,33.02222222,634.0468889,65.13333333,2.911111111,14.24,102.69,295,2.5,0
207.51,0,0.01,33.31111111,630.5177778,64.92222222,3.488888889,14.24,102.69,295,2.5,0
207.52,0,0.01,32.85555556,620.4295556,67.6,5.033333333,14.24,102.69,295,2.5,0
207.53,0,0.01,32.82222222,689.9975556,67.53333333,5.322222222,14.24,102.69,295,2.5,0
207.54,0,0.01,33.04444444,658.9354444,66.64444444,6.766666667,14.24,102.69,295,2.5,0
207.55,0,0.01,32.73333333,453.4385556,67.32222222,3.4,14.24,102.69,295,2.5,0
207.56,0,0.01,32.91111111,461.4303333,67.65555556,4.1,14.24,102.69,295,2.5,0
207.57,0,0.01,32.9,573.394,67.81111111,4.244444444,14.24,102.69,295,2.5,0
207.58,0,0.01,33.13333333,557.9905,66.78333333,5.6,14.24,102.69,295,2.5,0
207.59,0,0.01,32.24444444,325.367,68.6,3.133333333,14.24,102.69,295,2.5,0
207.6,0,0.01,31.98888889,499.1948889,69.05555556,5.155555556,14.24,102.69,295,2.5,0
207.61,0,0.01,31.84444444,339.9435556,68.67777778,5.122222222,14.24,102.69,295,2.5,0
207.62,0,0.01,31.48888889,320.7098889,69.64444444,4.244444444,14.24,102.69,295,2.5,0
207.63,0,0.01,30.72222222,246.4395556,72.93333333,6.133333333,14.24,102.69,295,2.5,0
207.64,0,0.01,30.82222222,344.7117778,72.73333333,5.988888889,14.24,102.69,295,2.5,0
207.65,0,0.01,31.73333333,433.3347778,70.42222222,3.088888889,14.24,102.69,295,2.5,0
207.66,0,0.01,32.18333333,384.002,68.1,3.7,14.24,102.69,295,2.5,0
207.67,0,0.01,31.7,269.5845556,69.43333333,5.211111111,14.24,102.69,295,2.5,0
207.68,0,0.01,31.34444444,230.1613333,71.11111111,2.4,14.24,102.69,295,2.5,0
207.69,0,0.01,31.87777778,301.4545556,68.1,3.211111111,14.24,102.69,295,2.5,0
207.7,0,0.01,32.2,239.2817778,66.67777778,2.611111111,14.24,102.69,295,2.5,0
207.71,0,0.01,31.85555556,207.4643333,69.97777778,2.622222222,14.24,102.69,295,2.5,0
207.72,0,0.01,31.55555556,136.238,69.28888889,2.544444444,14.24,102.69,295,2.5,0
207.73,0,0.01,31.21111111,107.0094444,69.92222222,4.755555556,14.24,102.69,295,2.5,0
207.74,0,0.01,30.7,75.09066667,71,3.733333333,14.24,102.69,295,2.5,0
